scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,pack_count,product_url,availability,search_term_ar,scraped_at,discount
23,Seoudi Supermarket,Lipton Loose Tea,11.95,,EGP,Lipton,Black Tea,Tea,Loose Tea,40.0,g,,https://seoudisupermarket.com/en/lipton-loose-tea-40-g,In Stock,,2026-09-14 18:42:16.499391
24,Seoudi Supermarket,Lipton Loose Tea,30.45,,EGP,Lipton,Black Tea,Tea,Loose Tea,100.0,g,,https://seoudisupermarket.com/en/lipton-loose-tea-100-g,In Stock,,2026-09-14 18:42:16.500392
25,Seoudi Supermarket,Lipton Tea,39.75,,EGP,Lipton,Other Tea,Tea,Regular Tea,,,25,https://seoudisupermarket.com/en/lipton-tea-25-pieces,In Stock,,2026-09-14 18:42:16.501391
26,Seoudi Supermarket,El Arosa Loose Black Tea,53.95,,EGP,El Arosa,Black Tea,Tea,Black Tea,250.0,g,,https://seoudisupermarket.com/en/el-arosa-loose-black-tea-250-g,In Stock,,2026-09-14 18:42:16.502391
27,Seoudi Supermarket,El Arosa Black Tea,23.45,,EGP,El Arosa,Black Tea,Tea,Black Tea,,,25,https://seoudisupermarket.com/en/el-arosa-black-tea-25-pieces,In Stock,,2026-09-14 18:42:16.503391
28,Seoudi Supermarket,El Arosa Loose Tea,9.95,,EGP,El Arosa,Black Tea,Tea,Loose Tea,40.0,g,,https://seoudisupermarket.com/en/el-arosa-loose-tea-40-g,In Stock,,2026-09-14 18:42:16.503391
29,Seoudi Supermarket,Tea Break Karak Tea - Pack of 8,94.95,103.95,EGP,Tea Break,Karak Tea,Tea,Karak Tea,25.0,g,,https://seoudisupermarket.com/en/tea-break-karak-tea-25-g-pack-of-8,In Stock,,2026-09-14 18:42:16.504391,9.0
30,Seoudi Supermarket,Rabea Extra Strong Black Tea,119.95,,EGP,Rabea,Black Tea,Tea,Black Tea,,,100,https://seoudisupermarket.com/en/rabea-extra-strong-black-tea-100-pieces,In Stock,,2026-09-14 18:42:16.505389
31,Seoudi Supermarket,Twinings English Breakfast Tea,496.25,,EGP,Twinings,English Breakfast Tea,Tea,Black Tea,,,50,https://seoudisupermarket.com/en/twinings-english-breakfast-tea-50-pieces,In Stock,,2026-09-14 18:42:16.506391
32,Seoudi Supermarket,Ahmad Tea London Tea with Clove,186.95,,EGP,Ahmad Tea,Flavored Tea,Tea,Regular Tea,250.0,g,,https://seoudisupermarket.com/en/ahmad-tea-london-tea-with-clove-250-g,In Stock,,2026-09-14 18:42:16.507394
33,Seoudi Supermarket,Ahmad Tea Soft Tea with Mint,74.95,104.45,EGP,Ahmad Tea,Flavored Tea,Tea,Regular Tea,200.0,g,,https://seoudisupermarket.com/en/ahmad-tea-soft-tea-with-mint-200-g,In Stock,,2026-09-14 18:42:16.508392,28.0
34,Seoudi Supermarket,Lipton English Breakfast Tea,39.75,,EGP,Lipton,English Breakfast Tea,Tea,Black Tea,,,25,https://seoudisupermarket.com/en/lipton-english-breakfast-tea-25-pieces,In Stock,,2026-09-14 18:42:16.509392
35,Seoudi Supermarket,Lipton Dust Tea,124.95,,EGP,Lipton,Black Tea,Tea,Loose Tea,500.0,g,,https://seoudisupermarket.com/en/lipton-dust-tea-500-g,In Stock,,2026-09-14 18:42:16.510393
36,Seoudi Supermarket,British Tea,49.95,,EGP,British Tea,Other Tea,Tea,Regular Tea,,,50,https://seoudisupermarket.com/en/british-tea-50-pieces,In Stock,,2026-09-14 18:42:16.511393
37,Seoudi Supermarket,British Tea,25.95,,EGP,British Tea,Other Tea,Tea,Regular Tea,,,25,https://seoudisupermarket.com/en/british-tea-25-pieces,In Stock,,2026-09-14 18:42:16.512391
38,Seoudi Supermarket,Rabea Extra Strong Fine Black Tea,11.95,,EGP,Rabea,Black Tea,Tea,Black Tea,40.0,g,,https://seoudisupermarket.com/en/rabea-extra-strong-fine-black-tea-40-g,In Stock,,2026-09-14 18:42:16.513395
39,Seoudi Supermarket,Rabea Extra Strong Fine Black Tea,29.75,,EGP,Rabea,Black Tea,Tea,Black Tea,100.0,g,,https://seoudisupermarket.com/en/rabea-extra-strong-fine-black-tea-100-g,In Stock,,2026-09-14 18:42:16.514394
40,Seoudi Supermarket,Rabea Extra Strong Fine Black Tea,63.75,,EGP,Rabea,Black Tea,Tea,Black Tea,225.0,g,,https://seoudisupermarket.com/en/rabea-extra-strong-fine-black-tea-250-g,In Stock,,2026-09-14 18:42:16.515394
41,Seoudi Supermarket,Alattar Matcha Tea,134.95,,EGP,Alattar,Green Tea,Tea,Green Tea,,,20,https://seoudisupermarket.com/en/alattar-matcha-tea-20-pieces,In Stock,,2026-09-14 18:42:16.515394
42,Seoudi Supermarket,Taylors Earl Grey Tea,179.95,,EGP,Taylors,Earl Grey Tea,Tea,Black Tea,,,20,https://seoudisupermarket.com/en/taylors-earl-grey-tea-20-pieces,In Stock,,2026-09-14 18:42:16.516393
43,Seoudi Supermarket,Ahmad Tea English Breakfast Foil Teabags,84.95,,EGP,Ahmad Tea,English Breakfast Tea,Tea,Black Tea,,,20,https://seoudisupermarket.com/en/ahmad-tea-english-breakfast-foil-teabags-20-pieces,In Stock,,2026-09-14 18:42:16.517396
44,Seoudi Supermarket,Rabea Extra Strong Black Tea,32.75,,EGP,Rabea,Black Tea,Tea,Black Tea,,,25,https://seoudisupermarket.com/en/rabea-extra-strong-black-tea-25-pieces,In Stock,,2026-09-14 18:42:16.518395
45,Seoudi Supermarket,Ahmad Tea London Blend Black Tea,33.95,43.75,EGP,Ahmad Tea,Black Tea,Tea,Black Tea,100.0,g,,https://seoudisupermarket.com/en/ahmad-tea-london-blend-black-tea-100-g,In Stock,,2026-09-14 18:42:16.519395,22.0
46,Seoudi Supermarket,Ahmad Tea Mint Green Tea,89.95,,EGP,Ahmad Tea,Green Tea,Tea,Green Tea,100.0,g,,https://seoudisupermarket.com/en/ahmad-tea-mint-green-tea-100-g,In Stock,,2026-09-14 18:42:16.520393
47,Seoudi Supermarket,Ahmad Tea Raspberry Pomegranate Flavored Green Tea,94.75,,EGP,Ahmad Tea,Green Tea,Tea,Green Tea,,,20,https://seoudisupermarket.com/en/ahmad-tea-raspberry-pomegranate-flavored-green-tea-20-pieces,In Stock,,2026-09-14 18:42:16.521393
48,Seoudi Supermarket,Royal Green Tea,25.75,29.95,EGP,Royal,Green Tea,Tea,Green Tea,,,25,https://seoudisupermarket.com/en/royal-green-tea-25-pieces,In Stock,,2026-09-14 18:42:16.521393,14.0
49,Seoudi Supermarket,Ahmad Tea Earl Grey Tea,209.95,,EGP,Ahmad Tea,Earl Grey Tea,Tea,Black Tea,250.0,g,,https://seoudisupermarket.com/en/ahmad-tea-earl-grey-tea-250-g,In Stock,,2026-09-14 18:42:16.523396
