scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,product_url,availability,search_term_ar,scraped_at,discount
21,Seoudi Supermarket,Slite Sunflower Oil,214.25,,EGP,Slite,Sunflower Oil,Oil,Sunflower Oil,2.1,L,https://seoudisupermarket.com/en/slite-sunflower-oil-2-1-liter,In Stock,,2026-09-14 18:21:26.102685
22,Seoudi Supermarket,Afia Corn Plus Oil,201.0,,EGP,Afia,Corn Oil,Oil,Corn Oil,1.6,L,https://seoudisupermarket.com/en/afia-corn-plus-oil-1-6-liter,In Stock,,2026-09-14 18:21:26.103684
23,Seoudi Supermarket,Borges Extra Virgin Olive Oil,907.95,,EGP,Borges,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/borges-extra-virgin-olive-oil-1-liter,Out of Stock,,2026-09-14 18:21:26.104684
24,Seoudi Supermarket,Slite Sunflower Oil,70.95,,EGP,Slite,Sunflower Oil,Oil,Sunflower Oil,675.0,ml,https://seoudisupermarket.com/en/slite-sunflower-oil-675-ml,In Stock,,2026-09-14 18:21:26.105684
25,Seoudi Supermarket,Afia Plus Corn Oil,89.75,,EGP,Afia,Corn Oil,Oil,Corn Oil,700.0,ml,https://seoudisupermarket.com/en/afia-plus-corn-oil-700-ml,In Stock,,2026-09-14 18:21:26.105684
26,Seoudi Supermarket,Crystal Corn Oil,95.25,,EGP,Crystal,Corn Oil,Oil,Corn Oil,700.0,ml,https://seoudisupermarket.com/en/crystal-corn-oil-700-ml,In Stock,,2026-09-14 18:21:26.106685
27,Seoudi Supermarket,"Zitouna Extra Virgin Olive Oil, Glass Bottle",644.95,,EGP,Zitouna,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-glass-bottle-1-liter,In Stock,,2026-09-14 18:21:26.107685
28,Seoudi Supermarket,Wadi Food Extra Virgin Olive oil,553.95,,EGP,Wadi Food,Olive Oil,Oil,Olive Oil,500.0,ml,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.108685
29,Seoudi Supermarket,Hla Sunflower Oil,507.45,,EGP,Hla,Sunflower Oil,Oil,Sunflower Oil,5.0,L,https://seoudisupermarket.com/en/hla-sunflower-oil-5-liter,In Stock,,2026-09-14 18:21:26.109686
30,Seoudi Supermarket,Spritz Truffle Oil Spray,239.95,,EGP,Spritz,Truffle Oil,Oil,Truffle Oil,200.0,ml,https://seoudisupermarket.com/en/spritz-truffle-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.110685
31,Seoudi Supermarket,El Momtaz Mixed Oil for Cooking & Frying,64.25,,EGP,El Momtaz,Mixed Oil,Oil,Mixed Oil,700.0,ml,https://seoudisupermarket.com/en/el-momtaz-cooking-oil-700-ml,In Stock,,2026-09-14 18:21:26.111683
32,Seoudi Supermarket,Terra Olive Oil Spray,399.95,,EGP,Terra,Olive Oil,Oil,Olive Oil,200.0,ml,https://seoudisupermarket.com/en/terra-olive-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.112683
33,Seoudi Supermarket,Spritz Olive Oil Spray,349.95,,EGP,Spritz,Olive Oil,Oil,Olive Oil,200.0,ml,https://seoudisupermarket.com/en/spritz-olive-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.113683
34,Seoudi Supermarket,Sunny Mixed Oil for Cooking & Frying,163.95,,EGP,Sunny,Mixed Oil,Oil,Mixed Oil,1.75,L,https://seoudisupermarket.com/en/sunny-mixed-oil-for-cooking-frying-1-75-liter,In Stock,,2026-09-14 18:21:26.113683
35,Seoudi Supermarket,Slite Sunflower Oil,157.75,,EGP,Slite,Sunflower Oil,Oil,Sunflower Oil,1.5,L,https://seoudisupermarket.com/en/slite-sunflower-oil-1-5-liter,In Stock,,2026-09-14 18:21:26.115685
36,Seoudi Supermarket,Karma Foods Coconut Oil,109.95,,EGP,Karma Foods,Coconut Oil,Oil,Coconut Oil,250.0,ml,https://seoudisupermarket.com/en/karma-foods-coconut-oil-250-ml,In Stock,,2026-09-14 18:21:26.116689
37,Seoudi Supermarket,Afia Corn Oil,210.25,,EGP,Afia,Corn Oil,Oil,Corn Oil,1.6,L,https://seoudisupermarket.com/en/afia-corn-oil-1-6-liter,In Stock,,2026-09-14 18:21:26.116689
38,Seoudi Supermarket,Wadi Food Virgin Olive Oil,734.95,824.75,EGP,Wadi Food,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/wadi-food-virgin-olive-oil-1-liter,In Stock,,2026-09-14 18:21:26.117688,11.0
39,Seoudi Supermarket,Al Asil Oil for Cooking & Frying,217.95,,EGP,Al Asil,Mixed Oil,Oil,Mixed Oil,2.25,L,https://seoudisupermarket.com/en/al-asil-sunflower-oil-2-25-liter,In Stock,,2026-09-14 18:21:26.118688
40,Seoudi Supermarket,King Rice Bran Oil,264.95,,EGP,King,Rice Bran Oil,Oil,Rice Bran Oil,1.0,L,https://seoudisupermarket.com/en/king-rice-bran-oil-1-liter,In Stock,,2026-09-14 18:21:26.119687
41,Seoudi Supermarket,Karma Foods Sweet Almond Oil,139.95,,EGP,Karma Foods,Sweet Almond Oil,Oil,Sweet Almond Oil,250.0,ml,https://seoudisupermarket.com/en/karma-foods-sweet-almond-oil-250-ml,In Stock,,2026-09-14 18:21:26.120687
42,Seoudi Supermarket,Hedaya Oil,77.0,83.95,EGP,Hedaya,Other Oil,Oil,Other Oil,1.0,L,https://seoudisupermarket.com/en/hedaya-oil-1-liter,In Stock,,2026-09-14 18:21:26.120687,8.0
43,Seoudi Supermarket,Zitouna Extra Virgin Olive Oil,162.95,,EGP,Zitouna,Olive Oil,Oil,Olive Oil,250.0,ml,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:26.121687
44,Seoudi Supermarket,Qalyea Cooking Oil,77.0,83.95,EGP,Qaleya,Cooking Oil,Oil,Cooking Oil,1.0,L,https://seoudisupermarket.com/en/qalyea-cooking-oil-1-liter,In Stock,,2026-09-14 18:21:26.122703,8.0
45,Seoudi Supermarket,Gold River Organic Olive Oil,219.95,,EGP,Gold River,Olive Oil,Oil,Olive Oil,250.0,ml,https://seoudisupermarket.com/en/gold-river-organic-olive-oil-250-ml,In Stock,,2026-09-14 18:21:26.123688
46,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil + Virgin Olive Oil,482.45,,EGP,Wadi Food,Olive Oil,Oil,Olive Oil,500.0,ml,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-500-ml-250-ml,In Stock,,2026-09-14 18:21:26.124688
47,Seoudi Supermarket,Marvel Greek Extra Virgin Olive Oil,714.95,,EGP,Marvel,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/marvel-greek-extra-virgin-olive-oil-1-liter,In Stock,,2026-09-14 18:21:26.124688
48,Seoudi Supermarket,Hla Sunflower Oil,157.75,,EGP,Hla,Sunflower Oil,Oil,Sunflower Oil,1.5,L,https://seoudisupermarket.com/en/hla-sunflower-oil-1-5-l,In Stock,,2026-09-14 18:21:26.125688
49,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil,789.95,888.95,EGP,Wadi Food,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-1-liter,In Stock,,2026-09-14 18:21:26.126688,11.0
50,Seoudi Supermarket,Crystal Corn Oil Spray,26.25,,EGP,Crystal,Corn Oil,Oil,Corn Oil,200.0,ml,https://seoudisupermarket.com/en/crystal-corn-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.127688
51,Seoudi Supermarket,Crystal Sunflower Oil,107.45,,EGP,Crystal,Sunflower Oil,Oil,Sunflower Oil,1.0,L,https://seoudisupermarket.com/en/crystal-sunflower-oil-1-liter,In Stock,,2026-09-14 18:21:31.540369
52,Seoudi Supermarket,Crystal Sunflower Oil,528.25,,EGP,Crystal,Sunflower Oil,Oil,Sunflower Oil,5.0,L,https://seoudisupermarket.com/en/crystal-sunflower-oil-5-liter,In Stock,,2026-09-14 18:21:31.541372
53,Seoudi Supermarket,Sunny Mixed Oil for Cooking & Frying,72.95,,EGP,Sunny,Mixed Oil,Oil,Mixed Oil,700.0,ml,https://seoudisupermarket.com/en/sunny-sunflower-oil-blend-700-ml,In Stock,,2026-09-14 18:21:31.542368
54,Seoudi Supermarket,Isis Extra Virgin Olive Oil,204.95,239.95,EGP,Isis,Olive Oil,Oil,Olive Oil,250.0,ml,https://seoudisupermarket.com/en/isis-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:31.543370,15.0
