scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,product_url,availability,search_term_ar,scraped_at,discount
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Golden Rice,116.95,,EGP,Al Doha,Golden Rice,Rice,Regular Rice,1,kg,https://seoudisupermarket.com/en/al-doha-golden-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Walaem White Basmati Rice,159.95,,EGP,Al Walaem,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/al-walaem-white-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Sakr Rice,31.95,34.95,EGP,Al Sakr,Other Rice,Rice,Regular Rice,1,kg,https://seoudisupermarket.com/en/al-sakr-rice-1-kg,In Stock,,2026-09-14 18:09:13,9.0
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Mexicana Basmati Rice,90.75,,EGP,Mexicana,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/mexicana-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Abu Al Bent Rice,310.95,,EGP,Abu Al Bent,Other Rice,Rice,Regular Rice,2,kg,https://seoudisupermarket.com/en/abu-al-bent-rice-2-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,"Al Doha Beyti Rice, Easy Rice Edition",25.75,,EGP,Al Doha,Other Rice,Rice,Regular Rice,320,g,https://seoudisupermarket.com/en/al-doha-beyti-rice-320-g,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Abu Kas Basmati Rice,154.95,169.0,EGP,Abu Kas,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/abu-kas-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13,8.0
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Imtenan Brown Rice,94.95,,EGP,Imtenan,Brown Rice,Rice,Brown Rice,750,g,https://seoudisupermarket.com/en/imtenan-brown-rice-750-g,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Mahshi Rice Mix,34.45,,EGP,Al Doha,Rice Mix,Rice,Rice Mix,342,g,https://seoudisupermarket.com/en/al-doha-mahshi-rice-mix-342-g,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Nakheel Indian Basmati Rice,64.95,,EGP,Al Nakheel,Basmati Rice,Rice,Basmati Rice,800,g,https://seoudisupermarket.com/en/al-nakheel-indian-basmati-rice-800-g,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Shahy Basmati Rice,149.95,,EGP,Shahy,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/shahy-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Safety Cargo Brown Rice,59.95,,EGP,Safety Cargo,Brown Rice,Rice,Brown Rice,500,g,https://seoudisupermarket.com/en/safety-cargo-brown-rice-500-g,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Walaem Golden Basmati Rice,159.95,,EGP,Al Walaem,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/al-walaem-golden-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Walaem White Basmati Rice,789.95,,EGP,Al Walaem,Basmati Rice,Rice,Basmati Rice,5,kg,https://seoudisupermarket.com/en/al-walaem-white-basmati-rice-5-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Kabsa Rice Mix,63.45,,EGP,Al Doha,Rice Mix,Rice,Rice Mix,336,g,https://seoudisupermarket.com/en/al-doha-kabsa-rice-mix-336-g,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Marvel Sella Basmati Rice,119.95,136.75,EGP,Marvel,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/marvel-sella-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13,12.0
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Rehana Rice,40.45,,EGP,Rehana,Other Rice,Rice,Regular Rice,1,kg,https://seoudisupermarket.com/en/rehana-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Jasmine Rice,174.95,,EGP,Al Doha,Other Rice,Rice,Regular Rice,1,kg,https://seoudisupermarket.com/en/al-doha-jasmine-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Riso Scotti Classic Risotto,399.75,,EGP,Riso Scotti,Other Rice,Rice,Regular Rice,1,kg,https://seoudisupermarket.com/en/riso-scotti-classic-risotto-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Ragab El Attar Basmati Rice,109.95,136.95,EGP,Ragab El Attar,Basmati Rice,Rice,Basmati Rice,1,kg,https://seoudisupermarket.com/en/ragab-el-attar-basmati-rice-1-kg,In Stock,,2026-09-14 18:09:13,20.0
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Abu Al Bent Golden Parboiled Rice,776.45,,EGP,Abu Al Bent,Parboiled Rice,Rice,Parboiled Rice,5,kg,https://seoudisupermarket.com/en/abu-al-bent-golden-parboiled-rice-5-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Assem Rice,38.5,,EGP,Assem,Other Rice,Rice,Regular Rice,1,kg,https://seoudisupermarket.com/en/assem-rice-1-kg,In Stock,,2026-09-14 18:09:13
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Asem Rice,189.95,,EGP,Assem,Other Rice,Rice,Regular Rice,5,kg,https://seoudisupermarket.com/en/asem-rice-5-kg,In Stock,,2026-09-14 18:09:13
