scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,product_url,availability,search_term_ar,scraped_at,discount
23,Seoudi Supermarket,Al Doha Easy Pasta with Mac and Cheese Sauce,34.95,,EGP,Al Doha,Mac & Cheese,Pasta,Ready Meal / Instant Pasta,175,g,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-mac-and-cheese-sauce-175-g,In Stock,,2026-09-14 18:35:22.955692
24,Seoudi Supermarket,Al Doha Easy Pasta with Mushroom Sauce,24.45,,EGP,Al Doha,Easy Pasta,Pasta,Regular Pasta,158,g,https://seoudisupermarket.com/en/al-doha-easy-pasta-mushroom-sauce-158-g,In Stock,,2026-09-14 18:35:22.956692
25,Seoudi Supermarket,Al Doha Easy Pasta with Creamy Pesto Sauce,24.45,,EGP,Al Doha,Easy Pasta,Pasta,Regular Pasta,158,g,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-creamy-pesto-sauce-158-g,In Stock,,2026-09-14 18:35:22.957691
26,Seoudi Supermarket,Al Doha Easy Pasta with Alfredo Sauce,25.45,,EGP,Al Doha,Easy Pasta,Pasta,Regular Pasta,158,g,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-alfredo-sauce-158-g,In Stock,,2026-09-14 18:35:22.958691
27,Seoudi Supermarket,Al Doha Easy Pasta with Italian Tomato Sauce,27.45,,EGP,Al Doha,Easy Pasta,Pasta,Regular Pasta,185,g,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-italian-tomato-sauce-185-g,In Stock,,2026-09-14 18:35:22.960692
28,Seoudi Supermarket,Delicia Masreya Linguini Pasta,48.95,,EGP,Delicia Masreya,Linguine,Pasta,Regular Pasta,1,kg,https://seoudisupermarket.com/en/delicia-masreya-linguini-pasta-1-kg,In Stock,,2026-09-14 18:35:22.961690
29,Seoudi Supermarket,Delicia Masreya Fusilli Pasta,48.95,,EGP,Delicia Masreya,Fusilli,Pasta,Regular Pasta,1,kg,https://seoudisupermarket.com/en/delicia-masreya-fusilli-pasta-1-kg,In Stock,,2026-09-14 18:35:22.962694
30,Seoudi Supermarket,Delicia Masreya Snails Pasta,48.95,,EGP,Delicia Masreya,Snails,Pasta,Regular Pasta,1,kg,https://seoudisupermarket.com/en/delicia-masreya-snails-pasta-1-kg,In Stock,,2026-09-14 18:35:22.963693
31,Seoudi Supermarket,Delicia Masreya Risoni,48.95,,EGP,Delicia Masreya,Risoni,Pasta,Regular Pasta,1,kg,https://seoudisupermarket.com/en/delicia-masreya-risoni-1-kg,In Stock,,2026-09-14 18:35:22.964692
32,Seoudi Supermarket,Delicia Masreya Risoni,21.45,,EGP,Delicia Masreya,Risoni,Pasta,Regular Pasta,350,g,https://seoudisupermarket.com/en/delicia-masreya-risoni-350-g,In Stock,,2026-09-14 18:35:22.966691
