scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,product_url,availability,search_term_ar,scraped_at,discount
e6615879-2e42-4e36-84ca-c889f4023d47,Seoudi Supermarket,Mario Easy Open Tuna Chunks,45.95,,EGP,Mario,,Canned Food,Canned Fish,140.0,g,https://seoudisupermarket.com/en/mario-easy-open-tuna-chunks-140-g,In Stock,,2026-09-14 18:55:24.540584
a22fe01b-86ad-48c8-ae75-a64990d17d73,Seoudi Supermarket,Sunshine Shredded Tuna,25.75,,EGP,Sunshine,,Canned Food,Canned Fish,95.0,g,https://seoudisupermarket.com/en/sunshine-shredded-tuna-95-g,In Stock,,2026-09-14 18:55:24.548576
05b2f6a0-b02e-40ac-a0d3-1bd64b2abab3,Seoudi Supermarket,Rose Tuna Chunks,74.45,,EGP,Rose Garden,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/rose-tuna-chunks-185-g,In Stock,,2026-09-14 18:55:24.557579
968d41b5-f252-44fe-80c3-035a8dfc0082,Seoudi Supermarket,Rose Tuna Diet One Piece,87.95,,EGP,Rose Garden,,Canned Food,Canned Fish,200.0,g,https://seoudisupermarket.com/en/rose-tuna-diet-one-piece-200-g,In Stock,,2026-09-14 18:55:24.566576
b01ed23c-0910-4581-a780-e9533c41d3c5,Seoudi Supermarket,Americana Chunks Tuna Meat In Soy Bean Oil And Brine,55.95,,EGP,Americana,,Canned Food,Canned Fish,140.0,g,https://seoudisupermarket.com/en/americana-chunks-tuna-meat-in-soy-bean-oil-and-brine-140-g,In Stock,,2026-09-14 18:55:24.578579
365535c9-75e8-43f4-8e77-103e2e9d37b5,Seoudi Supermarket,Dolphin Tuna Chunks,69.95,76.45,EGP,Dolphin,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/dolphin-tuna-chunks-185-g,In Stock,,2026-09-14 18:55:24.589577,- 9%
7e25b1a6-d845-460b-a32a-13286d2429c9,Seoudi Supermarket,Sunshine Express Tuna Chunks,50.95,,EGP,Sunshine,,Canned Food,Canned Fish,150.0,g,https://seoudisupermarket.com/en/sunshine-express-tuna-chunks-150-g,In Stock,,2026-09-14 18:55:24.604576
b7ebdda1-ea05-45f5-b194-ef067fcdfbaa,Seoudi Supermarket,Sunshine Hot Shredded Tuna,40.95,,EGP,Sunshine,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/sunshine-hot-shredded-tuna-185-g,In Stock,,2026-09-14 18:55:24.618576
ab30a4d5-ca67-476d-bd6f-21f106f07b90,Seoudi Supermarket,Dolphin Tuna One Piece,74.95,83.45,EGP,Dolphin,,Canned Food,Canned Fish,200.0,g,https://seoudisupermarket.com/en/dolphin-tuna-one-piece-200-g,In Stock,,2026-09-14 18:55:24.634580,- 10%
b92e30d4-e293-4f1c-aff8-32c1d17db57b,Seoudi Supermarket,Fisherman Light Solid Tuna In Sunflower Oil With Brine,90.95,,EGP,Fisherman,,Canned Food,Canned Fish,170.0,g,https://seoudisupermarket.com/en/fisherman-light-solid-tuna-in-sunflower-oil-with-brine-170-g,In Stock,,2026-09-14 18:55:24.649578
c53d1238-9c9a-46fd-a181-6a102380f8bc,Seoudi Supermarket,Sunshine Tuna Chunks with Lemon & Chili,74.95,,EGP,Sunshine,,Canned Food,Canned Fish,170.0,g,https://seoudisupermarket.com/en/sunshine-tuna-chunks-with-lemon-and-chili-170-g,In Stock,,2026-09-14 18:55:24.668583
84b45b66-0bfc-461f-ad47-95190161791c,Seoudi Supermarket,Rose Khoshala Light Tuna meat,87.95,,EGP,Rose Garden,,Canned Food,Canned Fish,200.0,g,https://seoudisupermarket.com/en/rose-khoshala-light-tuna-meat-200-g,In Stock,,2026-09-14 18:55:24.756008
a4900180-7232-42b6-bda0-828cf3a41c6d,Seoudi Supermarket,Sunshine Smoked Tuna Slices,84.95,,EGP,Sunshine,,Canned Food,Canned Fish,120.0,g,https://seoudisupermarket.com/en/sunshine-smoked-tuna-slices-120-g,In Stock,,2026-09-14 18:55:24.783007
2bf1333c-fa67-4471-8a40-a3c6a5fbed9f,Seoudi Supermarket,Sunshine Fancy Tuna Chunks in Pure Olive Oil,79.95,,EGP,Sunshine,,Canned Food,Canned Fish,170.0,g,https://seoudisupermarket.com/en/sunshine-fancy-tuna-chunks-in-pure-olive-oil-170-g,In Stock,,2026-09-14 18:55:24.794019
28e89a78-1b10-4730-a8eb-c068a7bdbf43,Seoudi Supermarket,Sunshine Spicy Tuna with Chili Pepper,74.95,,EGP,Sunshine,,Canned Food,Canned Fish,170.0,g,https://seoudisupermarket.com/en/sunshine-spicy-tuna-with-chili-pepper-170-g,In Stock,,2026-09-14 18:55:24.806003
a1daa206-8b67-49d9-8fc4-a208b1e561f4,Seoudi Supermarket,Cava Tuna Chunks,74.95,,EGP,Cava,,Canned Food,Canned Fish,170.0,g,https://seoudisupermarket.com/en/cava-tuna-chunks-170-g,In Stock,,2026-09-14 18:55:24.922007
7ad2a498-2cfb-4940-bb24-c2b39c1179ea,Seoudi Supermarket,T.C Boy Tuna Chunks,76.95,81.95,EGP,T.C Boy,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/t-c-boy-tuna-chunks-185-g,In Stock,,2026-09-14 18:55:24.955005,- 6%
883f8b9b-dbcf-49b7-80de-d3f82deba020,Seoudi Supermarket,Rio Mare Light Tuna Meat in Olive Oil,274.95,,EGP,Rio Mare,,Canned Food,Canned Fish,160.0,g,https://seoudisupermarket.com/en/rio-mare-light-tuna-meat-in-olive-oil-160-g,In Stock,,2026-09-14 18:55:25.120005
0706c4a0-8e89-4dc7-8af0-c19dfbd5d34e,Seoudi Supermarket,Rio Mare Light Tuna,274.95,,EGP,Rio Mare,,Canned Food,Canned Fish,160.0,g,https://seoudisupermarket.com/en/rio-mare-light-tuna-160-g,In Stock,,2026-09-14 18:55:25.200004
ee1d15a3-983c-4c34-8699-76198c9bb93f,Seoudi Supermarket,Rio Mare Light Tuna Meat in Olive Oil - 3 Pieces,409.95,,EGP,Rio Mare,,Canned Food,Canned Fish,80.0,g,https://seoudisupermarket.com/en/rio-mare-light-tuna-meat-in-olive-oil-80-g-3-pieces,In Stock,,2026-09-14 18:55:25.239007
10d149c5-9a07-49dc-b6d7-0ab05857aca3,Seoudi Supermarket,Sunshine Regular Tuna Lobes,74.95,,EGP,Sunshine,,Canned Food,Canned Fish,170.0,g,https://seoudisupermarket.com/en/sunshine-regular-tuna-lobes-170-g,In Stock,,2026-09-14 18:55:25.315007
2b275dce-91a0-498d-a27d-107bfc791103,Seoudi Supermarket,Bostany Tuna Chunks,85.95,,EGP,Bostany,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/bostany-tuna-chunks-185-g,In Stock,,2026-09-14 18:55:25.382007
b309c3e7-a49e-4108-bba6-2f45a6ba2bc2,Seoudi Supermarket,Sunshine Shredded Tuna,40.95,,EGP,Sunshine,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/sunshine-shredded-tuna-185-g,In Stock,,2026-09-14 18:55:25.396022
d8a97169-0d20-4515-91e6-20aacc2a420c,Seoudi Supermarket,Cava One Piece Tuna,84.95,,EGP,Cava,,Canned Food,Canned Fish,185.0,g,https://seoudisupermarket.com/en/cava-one-piece-tuna-185-g,In Stock,,2026-09-14 18:55:25.447005
ca43c146-0b7d-4c8d-adbb-0155a247b7cb,Seoudi Supermarket,Cava Classic Sardines,51.45,,EGP,Cava,,Canned Food,Canned Fish,125.0,g,https://seoudisupermarket.com/en/cava-classic-sardines-125-g,In Stock,,2026-09-14 18:55:25.458006
0e7542e2-3775-444b-ab1d-fdab16b7743f,Seoudi Supermarket,Americana Shredded Tuna,31.95,,EGP,Americana,,Canned Food,Canned Fish,140.0,g,https://seoudisupermarket.com/en/americana-shredded-tuna-140-g,In Stock,,2026-09-14 18:55:25.470003
7a6097f2-c869-4feb-9561-58e1d90f420c,Seoudi Supermarket,La Baliza Anchovies in Sunflower Oil,87.95,,EGP,La Baliza,,Canned Food,Canned Fish,50.0,g,https://seoudisupermarket.com/en/la-baliza-anchovies-in-sunflower-oil-50-g,In Stock,,2026-09-14 18:55:25.487006
b9c199be-c5a2-4cd9-85f2-74ba0580eca6,Seoudi Supermarket,Sunshine Express Tuna One Piece,56.25,,EGP,Sunshine,,Canned Food,Canned Fish,160.0,g,https://seoudisupermarket.com/en/sunshine-express-tuna-one-piece-160-g,In Stock,,2026-09-14 18:55:25.504007
