scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
25,Seoudi Supermarket,Afia Plus Corn Oil - 700 ml,89.75 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/afia-plus-corn-oil-700-ml,In Stock,,2026-09-14 18:21:26.105684,
26,Seoudi Supermarket,Crystal Corn Oil - 700 ml,95.25 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/crystal-corn-oil-700-ml,In Stock,,2026-09-14 18:21:26.106685,
27,Seoudi Supermarket,"Zitouna Extra Virgin Olive Oil, Glass Bottle - 1 Liter",644.95 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-glass-bottle-1-liter,In Stock,,2026-09-14 18:21:26.107685,
28,Seoudi Supermarket,Wadi Food Extra Virgin Olive oil - 500 ml,553.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.108685,
29,Seoudi Supermarket,Hla Sunflower Oil - 5 Liter,507.45 EGP,,,Oil,,5.0,L,,EGP,https://seoudisupermarket.com/en/hla-sunflower-oil-5-liter,In Stock,,2026-09-14 18:21:26.109686,
30,Seoudi Supermarket,Spritz Truffle Oil Spray - 200 ml,239.95 EGP,,,Oil,,200.0,ml,,EGP,https://seoudisupermarket.com/en/spritz-truffle-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.110685,
31,Seoudi Supermarket,El Momtaz Mixed Oil for Cooking & Frying - 700 ml,64.25 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/el-momtaz-cooking-oil-700-ml,In Stock,,2026-09-14 18:21:26.111683,
32,Seoudi Supermarket,Terra Olive Oil Spray - 200 ml,399.95 EGP,,,Oil,,200.0,ml,,EGP,https://seoudisupermarket.com/en/terra-olive-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.112683,
33,Seoudi Supermarket,Spritz Olive Oil Spray - 200 ml,349.95 EGP,,,Oil,,200.0,ml,,EGP,https://seoudisupermarket.com/en/spritz-olive-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.113683,
34,Seoudi Supermarket,Sunny Mixed Oil for Cooking & Frying- 1.75 Liter,163.95 EGP,,,Oil,,1.75,L,,EGP,https://seoudisupermarket.com/en/sunny-mixed-oil-for-cooking-frying-1-75-liter,In Stock,,2026-09-14 18:21:26.113683,
35,Seoudi Supermarket,Slite Sunflower Oil - 1.5 Liter,157.75 EGP,,,Oil,,1.5,L,,EGP,https://seoudisupermarket.com/en/slite-sunflower-oil-1-5-liter,In Stock,,2026-09-14 18:21:26.115685,
36,Seoudi Supermarket,Karma Foods Coconut Oil - 250 ml,109.95 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/karma-foods-coconut-oil-250-ml,In Stock,,2026-09-14 18:21:26.116689,
37,Seoudi Supermarket,Afia Corn Oil - 1.6 Liter,210.25 EGP,,,Oil,,1.6,L,,EGP,https://seoudisupermarket.com/en/afia-corn-oil-1-6-liter,In Stock,,2026-09-14 18:21:26.116689,
38,Seoudi Supermarket,Wadi Food Virgin Olive Oil - 1 Liter,734.95 EGP,,,Oil,,1.0,L,824.75 EGP,EGP,https://seoudisupermarket.com/en/wadi-food-virgin-olive-oil-1-liter,In Stock,,2026-09-14 18:21:26.117688,- 11%
39,Seoudi Supermarket,Al Asil Oil for Cooking & Frying - 2.25 Liters,217.95 EGP,,,Oil,,2.25,L,,EGP,https://seoudisupermarket.com/en/al-asil-sunflower-oil-2-25-liter,In Stock,,2026-09-14 18:21:26.118688,
40,Seoudi Supermarket,King Rice Bran Oil - 1 Liter,264.95 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/king-rice-bran-oil-1-liter,In Stock,,2026-09-14 18:21:26.119687,
41,Seoudi Supermarket,Karma Foods Sweet Almond Oil - 250 ml,139.95 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/karma-foods-sweet-almond-oil-250-ml,In Stock,,2026-09-14 18:21:26.120687,
42,Seoudi Supermarket,Hedaya Oil - 1 Liter,77 EGP,,,Oil,,1.0,L,83.95 EGP,EGP,https://seoudisupermarket.com/en/hedaya-oil-1-liter,In Stock,,2026-09-14 18:21:26.120687,- 8%
43,Seoudi Supermarket,Zitouna Extra Virgin Olive Oil - 250 ml,162.95 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:26.121687,
44,Seoudi Supermarket,Qalyea Cooking Oil - 1 Liter,77 EGP,,,Oil,,1.0,L,83.95 EGP,EGP,https://seoudisupermarket.com/en/qalyea-cooking-oil-1-liter,In Stock,,2026-09-14 18:21:26.122703,- 8%
45,Seoudi Supermarket,Gold River Organic Olive Oil - 250 ml,219.95 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/gold-river-organic-olive-oil-250-ml,In Stock,,2026-09-14 18:21:26.123688,
46,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil - 500 ml + Virgin Olive Oil - 250 ml,482.45 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-500-ml-250-ml,In Stock,,2026-09-14 18:21:26.124688,
47,Seoudi Supermarket,Marvel Greek Extra Virgin Olive Oil - 1 Liter,714.95 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/marvel-greek-extra-virgin-olive-oil-1-liter,In Stock,,2026-09-14 18:21:26.124688,
48,Seoudi Supermarket,Hla Sunflower Oil - 1.5 L,157.75 EGP,,,Oil,,1.5,L,,EGP,https://seoudisupermarket.com/en/hla-sunflower-oil-1-5-l,In Stock,,2026-09-14 18:21:26.125688,
49,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil - 1 Liter,789.95 EGP,,,Oil,,1.0,L,888.95 EGP,EGP,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-1-liter,In Stock,,2026-09-14 18:21:26.126688,- 11%
50,Seoudi Supermarket,Crystal Corn Oil Spray - 200 ml,26.25 EGP,,,Oil,,200.0,ml,,EGP,https://seoudisupermarket.com/en/crystal-corn-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.127688,
51,Seoudi Supermarket,Crystal Sunflower Oil - 1 Liter,107.45 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/crystal-sunflower-oil-1-liter,In Stock,,2026-09-14 18:21:31.540369,
52,Seoudi Supermarket,Crystal Sunflower Oil - 5 Liter,528.25 EGP,,,Oil,,5.0,L,,EGP,https://seoudisupermarket.com/en/crystal-sunflower-oil-5-liter,In Stock,,2026-09-14 18:21:31.541372,
53,Seoudi Supermarket,Sunny Mixed Oil for Cooking & Frying - 700 ml,72.95 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/sunny-sunflower-oil-blend-700-ml,In Stock,,2026-09-14 18:21:31.542368,
54,Seoudi Supermarket,Isis Extra Virgin Olive Oil - 250 ml,204.95 EGP,,,Oil,,250.0,ml,239.95 EGP,EGP,https://seoudisupermarket.com/en/isis-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:31.543370,- 15%
55,Seoudi Supermarket,Hla Sunflower Oil - 700 ml,73.75 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/hla-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:31.544371,
56,Seoudi Supermarket,Hla Sunflower Oil - 2.25 Liter,224.95 EGP,,,Oil,,2.25,L,,EGP,https://seoudisupermarket.com/en/hla-sunflower-oil-2-25-liter,In Stock,,2026-09-14 18:21:31.545367,
57,Seoudi Supermarket,Afia Plus Corn Oil - 2.2 Liter,269.95 EGP,,,Oil,,2.2,L,,EGP,https://seoudisupermarket.com/en/afia-plus-corn-oil-2-2-liter,In Stock,,2026-09-14 18:21:31.546368,
58,Seoudi Supermarket,Crystal Sunflower Oil - 1.6 Liter,173.95 EGP,,,Oil,,1.6,L,,EGP,https://seoudisupermarket.com/en/crystal-sunflower-oil-1-6-liter,In Stock,,2026-09-14 18:21:31.547369,
59,Seoudi Supermarket,Crystal Sunflower Oil - 700 ml,77.25 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/crystal-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:31.548367,
60,Seoudi Supermarket,Al Asil Sunflower Oil - 700 ml,71.75 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/al-asil-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:31.549370,
61,Seoudi Supermarket,"Zitouna Extra Virgin Olive Oil, Plastic Bottle - 500 ml",309.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-plastic-bottle-500-ml,In Stock,,2026-09-14 18:21:31.550366,
62,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil - 250 ml,312.45 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:31.550366,
63,Seoudi Supermarket,Sunny Mixed Oil for Cooking & Frying - 2.4 Liter,224.95 EGP,,,Oil,,2.4,L,,EGP,https://seoudisupermarket.com/en/sunny-sunflower-oil-2-4-liter,In Stock,,2026-09-14 18:21:31.551371,
64,Seoudi Supermarket,Crystal Corn Oil - 3.5 Liters,443.95 EGP,,,Oil,,3.5,L,,EGP,https://seoudisupermarket.com/en/crystal-corn-oil-3-5-liters,In Stock,,2026-09-14 18:21:31.552371,
65,Seoudi Supermarket,Mazzetti Organic Apple Vinegar - 500 ml,364.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/mazzetti-organic-apple-vinegar-500-ml,In Stock,,2026-09-14 18:21:31.552371,
66,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil - 250 ml,239.95 EGP,,,Oil,,250.0,ml,273.45 EGP,EGP,https://seoudisupermarket.com/en/%D9%88%D8%A7%D8%AF%D9%89-%D9%81%D9%88%D8%AF-%D8%B2%D9%8A%D8%AA-%D8%B2%D9%8A%D8%AA%D9%88%D9%86-%D9%85%D9%85%D8%AA%D8%A7%D8%B2250%D9%85%D9%84-6223000190623,In Stock,,2026-09-14 18:21:31.553371,- 12%
67,Seoudi Supermarket,Helwa Cooking Oil - 4.5 Liter,366.5 EGP,,,Oil,,4.5,L,,EGP,https://seoudisupermarket.com/en/helwa-cooking-oil-4-5-liter,In Stock,,2026-09-14 18:21:31.554370,
