scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
28,Seoudi Supermarket,Sweetal Diet Sugar - 100 Tablet,89.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweetal-diet-sugar-100-tablet,In Stock,,2026-09-14 18:26:17.849316,
29,Seoudi Supermarket,Sweetal Diet Sugar - 250 gm,169.95 EGP,,,Sugar,,250.0,g,,EGP,https://seoudisupermarket.com/en/sweetal-diet-sugar-250-gm,In Stock,,2026-09-14 18:26:17.850317,
30,Seoudi Supermarket,Sweet & Slim Stevia Zero Calories Sweetener - 50 Pieces,86.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweet-slim-stevia-50-pieces,In Stock,,2026-09-14 18:26:17.851316,
31,Seoudi Supermarket,Sweet & Slim Diet Sugar - 250 g,141.95 EGP,,,Sugar,,250.0,g,,EGP,https://seoudisupermarket.com/en/sweet-slim-diet-sugar-250-g,In Stock,,2026-09-14 18:26:17.852318,
32,Seoudi Supermarket,"Sweetal Diet Sugar, 75 Sachet - 1 g Per Sachet",94.95 EGP,,,Sugar,,1.0,g,,EGP,https://seoudisupermarket.com/en/sweetal-diet-sugar-75-sachet-1-g-per-sachet,In Stock,,2026-09-14 18:26:17.854318,
33,Seoudi Supermarket,Sweet & Slim Stevia Natural Sweetener - 200 Pieces,274.45 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweet-slim-stevia-natural-sweetener-200-pieces,In Stock,,2026-09-14 18:26:17.855319,
34,Seoudi Supermarket,Dobella Brown Sugar - 600 g,75.75 EGP,,,Sugar,,600.0,g,,EGP,https://seoudisupermarket.com/en/dobella-brown-sugar-600-g,In Stock,,2026-09-14 18:26:17.856319,
35,Seoudi Supermarket,Stevia Castello Natural Sweetener - 100 Pieces,249.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/stevia-castello-natural-sweetener-100-pieces,In Stock,,2026-09-14 18:26:17.857317,
36,Seoudi Supermarket,Sweet & Slim Stevia Diet Sugar - 25 Sachets,49.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweet-slim-stevia-diet-sugar-25-sachets,In Stock,,2026-09-14 18:26:17.858319,
37,Seoudi Supermarket,Sweet & Slim Diet Sugar - 100 Sachet,111.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweet-slim-diet-sugar-100-sachet,In Stock,,2026-09-14 18:26:17.859318,
