scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
346,Seoudi Supermarket,Babybel Mini - 100 g,122.5 EGP,,,Cheese & Labneh,,100.0,g,,EGP,https://seoudisupermarket.com/en/babybel-mini-100-g,Out of Stock,,2026-09-14 18:46:43.702783,
347,Seoudi Supermarket,Dina Farms Low Salt Cheese - 450 g,114.95 EGP,,,Cheese & Labneh,,450.0,g,,EGP,https://seoudisupermarket.com/en/dina-farms-low-salt-cheese-450-g,Out of Stock,,2026-09-14 18:46:43.703782,
348,Seoudi Supermarket,Seoudi Multigrain Cottage Cheese - 250 g,85 EGP,,,Cheese & Labneh,,250.0,g,,EGP,https://seoudisupermarket.com/en/seoudi-multigrain-cottage-cheese-250-g,Out of Stock,,2026-09-14 18:46:43.703782,
349,Seoudi Supermarket,Kiri Dippers Cheese - 35 g,34.5 EGP,,,Cheese & Labneh,,35.0,g,,EGP,https://seoudisupermarket.com/en/kiri-dippers-cheese-35-g,Out of Stock,,2026-09-14 18:46:43.704785,
350,Seoudi Supermarket,Milkana Cheddar Cheese Sauce - 900 g,246.95 EGP,,,Cheese & Labneh,,900.0,g,,EGP,https://seoudisupermarket.com/en/milkana-cheddar-cheese-sauce-900-g,Out of Stock,,2026-09-14 18:46:43.704785,
351,Seoudi Supermarket,Kiri Spread Creamy Cheese - 500 g,319.95 EGP,,,Cheese & Labneh,,500.0,g,360 EGP,EGP,https://seoudisupermarket.com/en/kiri-spread-creamy-cheese-500-g,Out of Stock,,2026-09-14 18:46:54.657801,- 11%
352,Seoudi Supermarket,Al Sharq Halloumi Cheese Fingers - 200 g,103.5 EGP,,,Cheese & Labneh,,200.0,g,,EGP,https://seoudisupermarket.com/en/al-sharq-halloumi-cheese-fingers-200-g,Out of Stock,,2026-09-14 18:46:54.658803,
353,Seoudi Supermarket,Malika Hallomi Cheese - 300 g,126.95 EGP,,,Cheese & Labneh,,300.0,g,,EGP,https://seoudisupermarket.com/en/malika-hallomi-cheese-300-g,Out of Stock,,2026-09-14 18:46:54.659798,
354,Seoudi Supermarket,Alsharq Halloumi Cheese - 200 g,103.5 EGP,,,Cheese & Labneh,,200.0,g,,EGP,https://seoudisupermarket.com/en/alsharq-halloumi-cheese-200-g,Out of Stock,,2026-09-14 18:46:54.659798,
355,Seoudi Supermarket,Alasdekaa Moazzarella Cheese - 900 g,345.95 EGP,,,Cheese & Labneh,,900.0,g,349.95 EGP,EGP,https://seoudisupermarket.com/en/alasdekaa-moazzarella-cheese-900-g,Out of Stock,,2026-09-14 18:46:54.661801,- 1%
356,Seoudi Supermarket,Alasdekaa Mozzarella Cheese - 200 g,91.95 EGP,,,Cheese & Labneh,,200.0,g,97.95 EGP,EGP,https://seoudisupermarket.com/en/alasdekaa-mozzarella-cheese-200-g,Out of Stock,,2026-09-14 18:46:54.662800,- 6%
357,Seoudi Supermarket,Alasdekaa Mozzarella Cheese - 300 g,143.95 EGP,,,Cheese & Labneh,,300.0,g,,EGP,https://seoudisupermarket.com/en/alasdekaa-mozzarella-cheese-300-g,Out of Stock,,2026-09-14 18:46:54.663800,
358,Seoudi Supermarket,Food House Goat Cheese with Black Pepper - 150 g,102 EGP,,,Cheese & Labneh,,150.0,g,,EGP,https://seoudisupermarket.com/en/food-house-goat-cheese-with-black-pepper-150-g,Out of Stock,,2026-09-14 18:46:54.664799,
