scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
152,Seoudi Supermarket,Cook's Apricot Jelly - 85 g,16.45 EGP,,,Flour,,85.0,g,,EGP,https://seoudisupermarket.com/en/cooks-apricot-jelly-85-g,Out of Stock,,2026-09-14 18:32:44.857606,
153,Seoudi Supermarket,Dreem Watermelon Jelly - 70 g,15.25 EGP,,,Flour,,70.0,g,,EGP,https://seoudisupermarket.com/en/dreem-watermelon-jelly-70-g,Out of Stock,,2026-09-14 18:32:44.858606,
154,Seoudi Supermarket,Class A Medium Couscous - 400 g,55.95 EGP,,,Flour,,400.0,g,,EGP,https://seoudisupermarket.com/en/class-a-medium-couscous-400-g,Out of Stock,,2026-09-14 18:32:44.859605,
155,Seoudi Supermarket,Egy Gardens Couscous - 1 kg,119.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/egy-gardens-couscous-1-kg,Out of Stock,,2026-09-14 18:32:44.860605,
156,Seoudi Supermarket,Dreem Mix Vanilla Ice Cream - 160 g,47.75 EGP,,,Flour,,160.0,g,,EGP,https://seoudisupermarket.com/en/dreem-mix-vanilla-ice-cream-160-g,Out of Stock,,2026-09-14 18:32:44.861606,
157,Seoudi Supermarket,Cook's Banana Jelly - 85 g,16.45 EGP,,,Flour,,85.0,g,,EGP,https://seoudisupermarket.com/en/cooks-banana-jelly-85-g,Out of Stock,,2026-09-14 18:32:44.861606,
158,Seoudi Supermarket,Dreem Cherry & Cola Jelly - 85 g,18.75 EGP,,,Flour,,85.0,g,,EGP,https://seoudisupermarket.com/en/dreem-cherry-and-cola-jelly-85-g,Out of Stock,,2026-09-14 18:32:44.862606,
159,Seoudi Supermarket,Dreem Chocolate Muffin - 450 g,94.95 EGP,,,Flour,,450.0,g,,EGP,https://seoudisupermarket.com/en/dreem-chocolate-muffin-450-g,Out of Stock,,2026-09-14 18:32:44.863606,
160,Seoudi Supermarket,Cook's Pineapple Jelly - 85 g,16.45 EGP,,,Flour,,85.0,g,,EGP,https://seoudisupermarket.com/en/cooks-pineapple-jelly-85-g,Out of Stock,,2026-09-14 18:32:44.864607,
161,Seoudi Supermarket,Dreem Brownies Cake - 400 g,73.75 EGP,,,Flour,,400.0,g,,EGP,https://seoudisupermarket.com/en/dreem-brownies-cake-mix-400-g,Out of Stock,,2026-09-14 18:32:44.865606,
162,Seoudi Supermarket,Dirty Cookie Chocolate Cookie Mix - 456 g,178.25 EGP,,,Flour,,456.0,g,,EGP,https://seoudisupermarket.com/en/dirty-cookie-chocolate-cookie-mix-456-g,Out of Stock,,2026-09-14 18:32:44.866605,
163,Seoudi Supermarket,Dreem Chocolate Sponge Cake - 400 g,68.95 EGP,,,Flour,,400.0,g,,EGP,https://seoudisupermarket.com/en/dreem-chocolate-sponge-cake-400-g,Out of Stock,,2026-09-14 18:32:44.867606,
164,Seoudi Supermarket,Holw El Sham Mango Ice Cream - 65 g,24.95 EGP,,,Flour,,65.0,g,,EGP,https://seoudisupermarket.com/en/holw-el-sham-mango-ice-cream-65-g,Out of Stock,,2026-09-14 18:32:44.868606,
165,Seoudi Supermarket,Dreem Strawberry Ice Cream - 80 g,26.75 EGP,,,Flour,,80.0,g,,EGP,https://seoudisupermarket.com/en/dreem-strawberry-ice-cream-80-g,Out of Stock,,2026-09-14 18:32:44.869606,
166,Seoudi Supermarket,Dreem Chocolate Ice Cream - 80 g,26.75 EGP,,,Flour,,80.0,g,,EGP,https://seoudisupermarket.com/en/dreem-chocolate-ice-cream-80-g,Out of Stock,,2026-09-14 18:32:44.870606,
167,Seoudi Supermarket,Dreem Fudge Cake Mix - 500 g,114.95 EGP,,,Flour,,500.0,g,,EGP,https://seoudisupermarket.com/en/dreem-fudge-cake-mix-500-g,Out of Stock,,2026-09-14 18:32:44.870606,
168,Seoudi Supermarket,Angelica Pancake Mix - 450 g,123.95 EGP,,,Flour,,450.0,g,,EGP,https://seoudisupermarket.com/en/angelica-pancake-mix-450-g,Out of Stock,,2026-09-14 18:32:44.872606,
169,Seoudi Supermarket,Diari Medium Coucous - 1 kg,155.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/diari-medium-coucous-1-kg,Out of Stock,,2026-09-14 18:32:44.873606,
